
 -500; Elise Anna von Möwenburg; 1; Johann Justus von Tiefenfels; 1; Natalie  von Eichenwald; 1; Elisabeth Nelania von Bergetal; 21; Niroi Jacques von Kisatris; 1
 -499; Elise Anna von Möwenburg; 2; Johann Justus von Tiefenfels; 2; Natalie  von Eichenwald; 2; Elisabeth Nelania von Bergetal; 22; Niroi Jacques von Kisatris; 2
 -498; Elise Anna von Möwenburg; 3; Johann Justus von Tiefenfels; 3; Natalie  von Eichenwald; 3; Elisabeth Nelania von Bergetal; 23; Niroi Jacques von Kisatris; 3
 -497; Elise Anna von Möwenburg; 4; Johann Justus von Tiefenfels; 4; Natalie  von Eichenwald; 4; Elisabeth Nelania von Bergetal; 24; Niroi Jacques von Kisatris; 4
 -496; Elise Anna von Möwenburg; 5; Johann Justus von Tiefenfels; 5; Natalie  von Eichenwald; 5; Elisabeth Nelania von Bergetal; 25; Niroi Jacques von Kisatris; 5
 -495; Elise Anna von Möwenburg; 6; Johann Justus von Tiefenfels; 6; Natalie  von Eichenwald; 6; Elisabeth Nelania von Bergetal; 26; Niroi Jacques von Kisatris; 6
 -494; Elise Anna von Möwenburg; 7; Johann Justus von Tiefenfels; 7; Natalie  von Eichenwald; 7; Elisabeth Nelania von Bergetal; 27; Niroi Jacques von Kisatris; 7
 -493; Elise Anna von Möwenburg; 8; Johann Justus von Tiefenfels; 8; Natalie  von Eichenwald; 8; Elisabeth Nelania von Bergetal; 28; Niroi Jacques von Kisatris; 8
 -492; Elise Anna von Möwenburg; 9; Johann Justus von Tiefenfels; 9; Natalie  von Eichenwald; 9; Elisabeth Nelania von Bergetal; 29; Niroi Jacques von Kisatris; 9
 -491; Elise Anna von Möwenburg; 10; Johann Justus von Tiefenfels; 10; Natalie  von Eichenwald; 10; Elisabeth Nelania von Bergetal; 30; Niroi Jacques von Kisatris; 10
 -490; Elise Anna von Möwenburg; 11; Johann Justus von Tiefenfels; 11; Natalie  von Eichenwald; 11; Elisabeth Nelania von Bergetal; 31; Niroi Jacques von Kisatris; 11
 -489; Elise Anna von Möwenburg; 12; Johann Justus von Tiefenfels; 12; Natalie  von Eichenwald; 12; Elisabeth Nelania von Bergetal; 32; Niroi Jacques von Kisatris; 12
 -488; Elise Anna von Möwenburg; 13; Johann Justus von Tiefenfels; 13; Natalie  von Eichenwald; 13; Elisabeth Nelania von Bergetal; 33; Niroi Jacques von Kisatris; 13
 -487; Elise Anna von Möwenburg; 14; Johann Justus von Tiefenfels; 14; Natalie  von Eichenwald; 14; Elisabeth Nelania von Bergetal; 34; Niroi Jacques von Kisatris; 14
 -486; Elise Anna von Möwenburg; 15; Johann Justus von Tiefenfels; 15; Natalie  von Eichenwald; 15; Elisabeth Nelania von Bergetal; 35; Niroi Jacques von Kisatris; 15
 -485; Elise Anna von Möwenburg; 16; Johann Justus von Tiefenfels; 16; Natalie  von Eichenwald; 16; Elisabeth Nelania von Bergetal; 36; Niroi Jacques von Kisatris; 16
 -484; Elise Anna von Möwenburg; 17; Johann Justus von Tiefenfels; 17; Natalie  von Eichenwald; 17; Elisabeth Nelania von Bergetal; 37; Niroi Jacques von Kisatris; 17
 -483; Elise Anna von Möwenburg; 18; Johann Justus von Tiefenfels; 18; Natalie  von Eichenwald; 18; Elisabeth Nelania von Bergetal; 38; Niroi Jacques von Kisatris; 18
 -482; Elise Anna von Möwenburg; 19; Johann Justus von Tiefenfels; 19; Natalie  von Eichenwald; 19; Elisabeth Nelania von Bergetal; 39; Niroi Jacques von Kisatris; 19
 -481; Elise Anna von Möwenburg; 20; Johann Justus von Tiefenfels; 20; Natalie  von Eichenwald; 20; Elisabeth Nelania von Bergetal; 40; Niroi Jacques von Kisatris; 20
 -480; Elise Anna von Möwenburg; 21; Johann Justus von Tiefenfels; 21; Natalie  von Eichenwald; 21; Elisabeth Nelania von Bergetal; 41; Niroi Jacques von Kisatris; 21
 -479; Elise Anna von Möwenburg; 22; Johann Justus von Tiefenfels; 22; Natalie  von Eichenwald; 22; Elisabeth Nelania von Bergetal; 42; Niroi Jacques von Kisatris; 22
 -478; Elise Anna von Möwenburg; 23; Johann Justus von Tiefenfels; 23; Natalie  von Eichenwald; 23; Elisabeth Nelania von Bergetal; 43; Niroi Jacques von Kisatris; 23
 -477; Elise Anna von Möwenburg; 24; Johann Justus von Tiefenfels; 24; Natalie  von Eichenwald; 24; Elisabeth Nelania von Bergetal; 44; Niroi Jacques von Kisatris; 24
 -476; Elise Anna von Möwenburg; 25; Johann Justus von Tiefenfels; 25; Natalie  von Eichenwald; 25; Elisabeth Nelania von Bergetal; 45; Niroi Jacques von Kisatris; 25
 -475; Elise Anna von Möwenburg; 26; Johann Justus von Tiefenfels; 26; Natalie  von Eichenwald; 26; Elisabeth Nelania von Bergetal; 46; Niroi Jacques von Kisatris; 26
 -474; Elise Anna von Möwenburg; 27; Johann Justus von Tiefenfels; 27; Natalie  von Eichenwald; 27; Elisabeth Nelania von Bergetal; 47; Niroi Jacques von Kisatris; 27
 -473; Elise Anna von Möwenburg; 28; Johann Justus von Tiefenfels; 28; Natalie  von Eichenwald; 28; Elisabeth Nelania von Bergetal; 48; Niroi Jacques von Kisatris; 28
 -472; Elise Anna von Möwenburg; 29; Johann Justus von Tiefenfels; 29; Natalie  von Eichenwald; 29; Elisabeth Nelania von Bergetal; 49; Niroi Jacques von Kisatris; 29
 -471; Elise Anna von Möwenburg; 30; Johann Justus von Tiefenfels; 30; Natalie  von Eichenwald; 30; Elisabeth Nelania von Bergetal; 50; Niroi Jacques von Kisatris; 30
 -470; Elise Anna von Möwenburg; 31; Johann Justus von Tiefenfels; 31; Natalie  von Eichenwald; 31; Elisabeth Nelania von Bergetal; 51; Niroi Jacques von Kisatris; 31
 -469; Elise Anna von Möwenburg; 32; Johann Justus von Tiefenfels; 32; Natalie  von Eichenwald; 32; Elisabeth Nelania von Bergetal; 52; Niroi Jacques von Kisatris; 32
 -468; Elise Anna von Möwenburg; 33; Johann Justus von Tiefenfels; 33; Natalie  von Eichenwald; 33; Elisabeth Nelania von Bergetal; 53; Niroi Jacques von Kisatris; 33
 -467; Elise Anna von Möwenburg; 34; Johann Justus von Tiefenfels; 34; Natalie  von Eichenwald; 34; Elisabeth Nelania von Bergetal; 54; Niroi Jacques von Kisatris; 34
 -466; Elise Anna von Möwenburg; 35; Johann Justus von Tiefenfels; 35; Natalie  von Eichenwald; 35; Elisabeth Nelania von Bergetal; 55; Niroi Jacques von Kisatris; 35
 -465; Elise Anna von Möwenburg; 36; Johann Justus von Tiefenfels; 36; Natalie  von Eichenwald; 36; Elisabeth Nelania von Bergetal; 56; Niroi Jacques von Kisatris; 36
 -464; Elise Anna von Möwenburg; 37; Johann Justus von Tiefenfels; 37; Natalie  von Eichenwald; 37; Elisabeth Nelania von Bergetal; 57; Niroi Jacques von Kisatris; 37
 -463; Elise Anna von Möwenburg; 38; Johann Justus von Tiefenfels; 38; Natalie  von Eichenwald; 38; Elisabeth Nelania von Bergetal; 58; Niroi Jacques von Kisatris; 38
 -462; Elise Anna von Möwenburg; 39; Johann Justus von Tiefenfels; 39; Natalie  von Eichenwald; 39; Elisabeth Nelania von Bergetal; 59; Niroi Jacques von Kisatris; 39
 -461; Elise Anna von Möwenburg; 40; Johann Justus von Tiefenfels; 40; Natalie  von Eichenwald; 40; Elisabeth Nelania von Bergetal; 60; Niroi Jacques von Kisatris; 40
 -460; Elise Anna von Möwenburg; 41; Johann Justus von Tiefenfels; 41; Natalie  von Eichenwald; 41; Elisabeth Nelania von Bergetal; 61; Niroi Jacques von Kisatris; 41
 -459; Elise Anna von Möwenburg; 42; Johann Justus von Tiefenfels; 42; Natalie  von Eichenwald; 42; Elisabeth Nelania von Bergetal; 62; Niroi Jacques von Kisatris; 42
 -458; Elise Anna von Möwenburg; 43; Johann Justus von Tiefenfels; 43; Natalie  von Eichenwald; 43; Elisabeth Nelania von Bergetal; 63; Niroi Jacques von Kisatris; 43
 -457; Elise Anna von Möwenburg; 44; Friederike von Tiefenfels; 1; Natalie  von Eichenwald; 44; Elisabeth Nelania von Bergetal; 64; Niroi Jacques von Kisatris; 44
 -456; Elise Anna von Möwenburg; 45; Friederike von Tiefenfels; 2; Natalie  von Eichenwald; 45; Elisabeth Nelania von Bergetal; 65; Niroi Jacques von Kisatris; 45
 -455; Elise Anna von Möwenburg; 46; Friederike von Tiefenfels; 3; Natalie  von Eichenwald; 46; Elisabeth Nelania von Bergetal; 66; Niroi Jacques von Kisatris; 46
 -454; Elise Anna von Möwenburg; 47; Friederike von Tiefenfels; 4; Natalie  von Eichenwald; 47; Elisabeth Nelania von Bergetal; 67; Niroi Jacques von Kisatris; 47
 -453; Elise Anna von Möwenburg; 48; Friederike von Tiefenfels; 5; Natalie  von Eichenwald; 48; Elisabeth Nelania von Bergetal; 68; Niroi Jacques von Kisatris; 48
 -452; Elise Anna von Möwenburg; 49; Friederike von Tiefenfels; 6; Natalie  von Eichenwald; 49; Elisabeth Nelania von Bergetal; 69; Niroi Jacques von Kisatris; 49
 -451; Elise Anna von Möwenburg; 50; Friederike von Tiefenfels; 7; Natalie  von Eichenwald; 50; Elisabeth Nelania von Bergetal; 70; Niroi Jacques von Kisatris; 50
 -450; Elise Anna von Möwenburg; 51; Friederike von Tiefenfels; 8; Natalie  von Eichenwald; 51; Elisabeth Nelania von Bergetal; 71; Niroi Jacques von Kisatris; 51
 -449; Elise Anna von Möwenburg; 52; Friederike von Tiefenfels; 9; Natalie  von Eichenwald; 52; Elisabeth Nelania von Bergetal; 72; Niroi Jacques von Kisatris; 52
 -448; Elise Anna von Möwenburg; 53; Friederike von Tiefenfels; 10; Natalie  von Eichenwald; 53; Elisabeth Nelania von Bergetal; 73; Niroi Jacques von Kisatris; 53
 -447; Elise Anna von Möwenburg; 54; Friederike von Tiefenfels; 11; Natalie  von Eichenwald; 54; Elisabeth Nelania von Bergetal; 74; Niroi Jacques von Kisatris; 54
 -446; Elise Anna von Möwenburg; 55; Friederike von Tiefenfels; 12; Natalie  von Eichenwald; 55; Elisabeth Nelania von Bergetal; 75; Niroi Jacques von Kisatris; 55
 -445; Elise Anna von Möwenburg; 56; Luise von Tiefenfels; 1; Natalie  von Eichenwald; 56; Elisabeth Nelania von Bergetal; 76; Niroi Jacques von Kisatris; 56
 -444; Jasper Franz von Möwenburg; 1; Luise von Tiefenfels; 2; Natalie  von Eichenwald; 57; Elisabeth Nelania von Bergetal; 77; Niroi Jacques von Kisatris; 57
 -443; Jasper Franz von Möwenburg; 2; Luise von Tiefenfels; 3; Natalie  von Eichenwald; 58; Elisabeth Nelania von Bergetal; 78; Niroi Jacques von Kisatris; 58
 -442; Jasper Franz von Möwenburg; 3; Luise von Tiefenfels; 4; Natalie  von Eichenwald; 59; Elisabeth Nelania von Bergetal; 79; Niroi Jacques von Kisatris; 59
 -441; Jasper Franz von Möwenburg; 4; Luise von Tiefenfels; 5; Natalie  von Eichenwald; 60; Elisabeth Nelania von Bergetal; 80; Niroi Jacques von Kisatris; 60
